"corpus","tgl_wikipedia_2021"
"ibinalik",165
"sun",165
"malaya",165
"ngayong",165
"lumilikha",165
"kasangkapan",165
"tumukoy",165
"1985",165
"materyales",165
"malamig",165
"east",165
"mang",165
"pinakamalaki",164
"unti-unting",164
"pang-",164
"kamakailan",164
"rate",164
"yelo",164
"sandali",164
"sumikat",164
"baguhin",164
"martin",164
"itinaas",164
"aquino",163
"kalimitang",163
"hango",163
"porsiyento",163
"bibig",163
"marka",163
"kumalat",163
"katanyagan",163
"katipunan",163
"nagsisilbi",162
"social",162
"mensahe",162
"madali",162
"nakumpleto",162
"laging",162
"kotse",162
"first",162
"suliranin",162
"dibdib",162
"ginawaran",162
"kayamanan",162
"cruz",161
"buddha",161
"istilo",161
"harapan",161
"arkitektura",161
"tumigil",161
"fernando",161
"mario",161
"pinakamahalagang",160
"peter",160
