"corpus","war_wikipedia_2021"
"canary",8
"österreichischer",8
"chave",8
"characidae",8
"na",8
"chrysanthus",8
"momoi",8
"formosa",8
"1991a",8
"nahimutang",8
"83",8
"bruce",8
"zoosystematica",8
"microgastrinae",8
"heteroptera",8
"teocchi",7
"baert",7
"porcellio",7
"dr",7
"duha",7
"1856",7
"life",7
"einige",7
"reared",7
"caleb",7
"archipelago",7
"cryptops",7
"ephemeroptera",7
"scarabéides",7
"etude",7
"sergio",7
"ex",7
"fieber",7
"siberia",7
"labnasan",7
"alan",7
"sopra",7
"bracon",7
"langyab",7
"algeria",7
"fitzhugh",7
"laubenfels",7
"alfred",7
"ssr",7
"lemos",7
"lepesme",7
"leonard",7
"lepturges",7
"sugbo",7
"levant",7
"brunei",7
"bruxelles",7
"g.e.j",7
"2002.",7
"teil",7
"gorochov",7
